"id","title","description","input_description","output_description","samples","test_case_id","test_case_score","hint","languages","template","create_time","last_update_time","time_limit","memory_limit","spj","spj_language","spj_code","spj_version","rule_type","visible","difficulty","source","submission_number","accepted_number","created_by_id","_id","statistic_info","total_score","contest_id","is_public","spj_compile_ok","io_mode","share_submission"
1,"A+B Problem","<p>请计算两个整数的和并输出结果。</p><p>注意不要有不必要的输出，比如&quot;请输入 a 和 b 的值: &quot;。</p>","<p>一行两个整数。</p>","<p>一个整数表示答案。<br /></p>","[{""input"": ""1 1"", ""output"": ""2""}]","32b88b768bf339b77221caab837b2251","[{""score"": 100, ""input_name"": ""1.in"", ""output_name"": ""1.out""}]","","[""C"", ""C++"", ""Java"", ""Python2"", ""Python3""]","{}","2018-09-14 14:14:29.402157+00",NULL,1000,256,False,NULL,NULL,NULL,"ACM",True,"Low","",1482,694,1,"1-1","{""0"": 694, ""1"": 1, ""4"": 140, ""-1"": 217, ""-2"": 430}",0,NULL,False,False,"{""input"": ""input.txt"", ""output"": ""output.txt"", ""io_mode"": ""Standard IO""}",False
2,"2n皇后问题","<p>给定一个n*n的棋盘，棋盘中有一些位置不能放皇后。现在要向棋盘中放入n个黑皇后和n个白皇后，使任意的两个黑皇后都不在同一行、同一列或同一条对角线上，任意的两个白皇后都不在同一行、同一列或同一条对角线上。问总共有多少种放法？n小于等于8。</p>","<p>输入的第一行为一个整数n，表示棋盘的大小。　　接下来n行，每行n个0或1的整数，如果一个整数为1，表示对应的位置可以放皇后，如果一个整数为0，表示对应的位置不可以放皇后。</p>","<p>输出一个整数，表示总共有多少种放法。</p>","[{""input"": ""4\n1 1 1 1\n1 1 1 1\n1 1 1 1\n1 1 1 1"", ""output"": ""2""}, {""input"": ""4\n1 0 1 1\n1 1 1 1\n1 1 1 1\n1 1 1 1"", ""output"": ""0""}]","4af2a769855717dc9b6625f9d55d64a1","[{""score"": 13, ""input_name"": ""1.in"", ""output_name"": ""1.out""}, {""score"": 13, ""input_name"": ""2.in"", ""output_name"": ""2.out""}, {""score"": 13, ""input_name"": ""3.in"", ""output_name"": ""3.out""}, {""score"": 13, ""input_name"": ""4.in"", ""output_name"": ""4.out""}, {""score"": 13, ""input_name"": ""5.in"", ""output_name"": ""5.out""}, {""score"": 13, ""input_name"": ""6.in"", ""output_name"": ""6.out""}, {""score"": 13, ""input_name"": ""7.in"", ""output_name"": ""7.out""}, {""score"": 13, ""input_name"": ""8.in"", ""output_name"": ""8.out""}]","","[""C"", ""C++"", ""Java"", ""Python2"", ""Python3""]","{}","2018-09-15 07:42:33.025428+00",NULL,1000,512,False,NULL,NULL,NULL,"ACM",True,"Low","",453,150,1,"1-2","{""0"": 150, ""1"": 16, ""4"": 41, ""-1"": 147, ""-2"": 99}",0,NULL,False,False,"{""input"": ""input.txt"", ""output"": ""output.txt"", ""io_mode"": ""Standard IO""}",False
3,"2n皇后问题","<p>给定一个n*n的棋盘，棋盘中有一些位置不能放皇后。现在要向棋盘中放入n个黑皇后和n个白皇后，使任意的两个黑皇后都不在同一行、同一列或同一条对角线上，任意的两个白皇后都不在同一行、同一列或同一条对角线上。问总共有多少种放法？n小于等于8。</p>","<p>输入的第一行为一个整数n，表示棋盘的大小。　　接下来n行，每行n个0或1的整数，如果一个整数为1，表示对应的位置可以放皇后，如果一个整数为0，表示对应的位置不可以放皇后。</p>","<p>　输出一个整数，表示总共有多少种放法。</p>","[{""input"": ""4\n1 1 1 1\n1 1 1 1\n1 1 1 1\n1 1 1 1"", ""output"": ""2""}, {""input"": ""4\n1 0 1 1\n1 1 1 1\n1 1 1 1\n1 1 1 1"", ""output"": ""0""}]","4af2a769855717dc9b6625f9d55d64a1","[{""score"": 13, ""input_name"": ""1.in"", ""output_name"": ""1.out""}, {""score"": 13, ""input_name"": ""2.in"", ""output_name"": ""2.out""}, {""score"": 13, ""input_name"": ""3.in"", ""output_name"": ""3.out""}, {""score"": 13, ""input_name"": ""4.in"", ""output_name"": ""4.out""}, {""score"": 13, ""input_name"": ""5.in"", ""output_name"": ""5.out""}, {""score"": 13, ""input_name"": ""6.in"", ""output_name"": ""6.out""}, {""score"": 13, ""input_name"": ""7.in"", ""output_name"": ""7.out""}, {""score"": 13, ""input_name"": ""8.in"", ""output_name"": ""8.out""}]","","[""C++"", ""C"", ""Python3"", ""Java"", ""Python2""]","{}","2018-09-15 14:19:25.918963+00",NULL,1000,512,False,NULL,NULL,NULL,"ACM",True,"Low","",3,1,1,"1","{""0"": 1, ""-2"": 2}",0,1,True,False,"{""input"": ""input.txt"", ""output"": ""output.txt"", ""io_mode"": ""Standard IO""}",False
4,"A+B Problem","<p>请计算两个整数的和并输出结果。</p><p>注意不要有不必要的输出，比如&quot;请输入 a 和 b 的值: &quot;，示例代码见隐藏部分。</p>","<p>1 1</p>","<p>2</p>","[{""input"": ""1 1"", ""output"": ""2""}]","32b88b768bf339b77221caab837b2251","[{""score"": 100, ""input_name"": ""1.in"", ""output_name"": ""1.out""}]","","[""C++"", ""C"", ""Python3"", ""Java"", ""Python2""]","{}","2018-09-15 14:19:29.721681+00",NULL,1000,256,False,NULL,NULL,NULL,"ACM",True,"Low","",4,3,1,"2","{""0"": 3, ""-1"": 1}",0,1,True,False,"{""input"": ""input.txt"", ""output"": ""output.txt"", ""io_mode"": ""Standard IO""}",False
5,"A+B Problem","<p>请计算两个整数的和并输出结果。</p><p>注意不要有不必要的输出，比如&quot;请输入 a 和 b 的值: &quot;，示例代码见隐藏部分。</p>","<p>1 1</p>","<p>2</p>","[{""input"": ""1 1"", ""output"": ""2""}]","32b88b768bf339b77221caab837b2251","[{""score"": 100, ""input_name"": ""1.in"", ""output_name"": ""1.out""}]","","[""C++"", ""C"", ""Python3"", ""Java"", ""Python2""]","{}","2018-09-16 02:46:13.57668+00",NULL,1000,256,False,NULL,NULL,NULL,"ACM",True,"Low","",1,1,1,"102","{""0"": 1}",0,3,True,False,"{""input"": ""input.txt"", ""output"": ""output.txt"", ""io_mode"": ""Standard IO""}",False
6,"带分数","<p>100 可以表示为带分数的形式：100 = 3 + 69258 / 714。还可以表示为：100 = 82 + 3546 / 197。注意特征：带分数中，数字1~9分别出现且只出现一次（不包含0）。类似这样的带分数，100 有 11 种表示法。</p>","<p>从标准输入读入一个正整数N (N&lt;1000*1000)</p>","<p>程序输出该数字用数码1~9不重复不遗漏地组成带分数表示的全部种数。注意：不要求输出每个表示，只统计有多少表示法！</p>","[{""input"": ""100"", ""output"": ""11""}, {""input"": ""105"", ""output"": ""6""}]","e212965a8401de2b842dd5829a839505","[{""score"": 33, ""input_name"": ""1.in"", ""output_name"": ""1.out""}, {""score"": 33, ""input_name"": ""2.in"", ""output_name"": ""2.out""}, {""score"": 33, ""input_name"": ""3.in"", ""output_name"": ""3.out""}]","","[""C++"", ""C"", ""Python3"", ""Java"", ""Python2""]","{}","2018-09-16 09:53:55.036615+00",NULL,1000,256,False,NULL,NULL,NULL,"ACM",True,"Low","",2,1,1,"1","{""0"": 1, ""-2"": 1}",0,5,False,False,"{""input"": ""input.txt"", ""output"": ""output.txt"", ""io_mode"": ""Standard IO""}",False
7,"FJ的字符串","<p>FJ在沙盘上写了这样一些字符串：　　A1 = “A”　　A2 = “ABA”　　A3 = “ABACABA”　　A4 = “ABACABADABACABA”　　… …　　你能找出其中的规律并写所有的数列AN吗？</p>","<p>仅有一个数：N ≤ 26。</p>","<p>请输出相应的字符串AN，以一个换行符结束。输出中不得含有多余的空格或换行、回车符。</p>","[{""input"": ""3"", ""output"": ""ABACABA""}]","6d7877b0b1c9842dc3d003c3542e4eb5","[{""score"": 33, ""input_name"": ""1.in"", ""output_name"": ""1.out""}, {""score"": 33, ""input_name"": ""2.in"", ""output_name"": ""2.out""}, {""score"": 33, ""input_name"": ""3.in"", ""output_name"": ""3.out""}]","","[""C"", ""C++"", ""Java"", ""Python2"", ""Python3""]","{}","2018-09-18 11:32:30.44222+00",NULL,1000,512,False,NULL,NULL,NULL,"ACM",True,"Low","",563,269,1,"1-3","{""0"": 269, ""1"": 2, ""4"": 28, ""-1"": 121, ""-2"": 137}",0,NULL,False,False,"{""input"": ""input.txt"", ""output"": ""output.txt"", ""io_mode"": ""Standard IO""}",False
8,"Huffuman树","<p>Huffman树在编码中有着广泛的应用。在这里，我们只关心Huffman树的构造过程。</p><p>给出一列数{pi}={p0, p1, …, pn-1}，用这列数构造Huffman树的过程如下：</p><p>1. 找到{pi}中最小的两个数，设为pa和pb，将pa和pb从{pi}中删除掉，然后将它们的和加入到{pi}中。这个过程的费用记为pa + pb。</p><p>2. 重复步骤1，直到{pi}中只剩下一个数。</p><p>在上面的操作过程中，把所有的费用相加，就得到了构造Huffman树的总费用。</p><p>本题任务：对于给定的一个数列，现在请你求出用该数列构造Huffman树的总费用。</p><p>例如，对于数列{pi}={5, 3, 8, 2, 9}，Huffman树的构造过程如下：</p><p>1. 找到{5, 3, 8, 2, 9}中最小的两个数，分别是2和3，从{pi}中删除它们并将和5加入，得到{5, 8, 9, 5}，费用为5。</p><p>2. 找到{5, 8, 9, 5}中最小的两个数，分别是5和5，从{pi}中删除它们并将和10加入，得到{8, 9, 10}，费用为10。</p><p>3. 找到{8, 9, 10}中最小的两个数，分别是8和9，从{pi}中删除它们并将和17加入，得到{10, 17}，费用为17。</p><p>4. 找到{10, 17}中最小的两个数，分别是10和17，从{pi}中删除它们并将和27加入，得到{27}，费用为27。</p><p>5. 现在，数列中只剩下一个数27，构造过程结束，总费用为5+10+17+27=59。</p>","<p>输入的第一行包含一个正整数n（n&lt;=100）。　　接下来是n个正整数，表示p0, p1, …, pn-1，每个数不超过1000。</p>","<p>输出用这些数构造Huffman树的总费用。</p>","[{""input"": ""5\n5 3 8 2 9\n"", ""output"": ""59""}]","7b7f3d4c8c1e9f20c3debe079c20568a","[{""score"": 10, ""input_name"": ""1.in"", ""output_name"": ""1.out""}, {""score"": 10, ""input_name"": ""2.in"", ""output_name"": ""2.out""}, {""score"": 10, ""input_name"": ""3.in"", ""output_name"": ""3.out""}, {""score"": 10, ""input_name"": ""4.in"", ""output_name"": ""4.out""}, {""score"": 10, ""input_name"": ""5.in"", ""output_name"": ""5.out""}, {""score"": 10, ""input_name"": ""6.in"", ""output_name"": ""6.out""}, {""score"": 10, ""input_name"": ""7.in"", ""output_name"": ""7.out""}, {""score"": 10, ""input_name"": ""8.in"", ""output_name"": ""8.out""}, {""score"": 10, ""input_name"": ""9.in"", ""output_name"": ""9.out""}, {""score"": 10, ""input_name"": ""10.in"", ""output_name"": ""10.out""}]","","[""C"", ""C++"", ""Java"", ""Python2"", ""Python3""]","{}","2018-09-18 11:34:39.902835+00",NULL,1000,512,False,NULL,NULL,NULL,"ACM",True,"Low","",460,209,1,"1-4","{""0"": 209, ""1"": 12, ""4"": 55, ""-1"": 107, ""-2"": 77}",0,NULL,False,False,"{""input"": ""input.txt"", ""output"": ""output.txt"", ""io_mode"": ""Standard IO""}",False
9,"Sine之舞","<p>最近FJ为他的奶牛们开设了数学分析课，FJ知道若要学好这门课，必须有一个好的三角函数基本功。所以他准备和奶牛们做一个“Sine之舞”的游戏，寓教于乐，提高奶牛们的计算能力。</p><p>不妨设</p><p>An=sin(1–sin(2+sin(3–sin(4+...sin(n))...)</p><p>Sn=(...(A1+n)A2+n-1)A3+...+2)An+1</p><p>FJ想让奶牛们计算Sn的值，请你帮助FJ打印出Sn的完整表达式，以方便奶牛们做题。</p>","<p>仅有一个数：N&lt;201。</p>","<p>请输出相应的表达式Sn，以一个换行符结束。输出中不得含有多余的空格或换行、回车符。</p>","[{""input"": ""3"", ""output"": ""((sin(1)+3)sin(1–sin(2))+2)sin(1–sin(2+sin(3)))+1""}]","c57293ac21b4113a9e0e359463fca4ec","[{""score"": 100, ""input_name"": ""1.in"", ""output_name"": ""1.out""}]","","[""C"", ""C++"", ""Java"", ""Python2"", ""Python3""]","{}","2018-09-18 11:36:55.041117+00",NULL,1000,512,False,NULL,NULL,NULL,"ACM",True,"Low","",288,160,1,"1-5","{""0"": 160, ""4"": 26, ""-1"": 51, ""-2"": 51}",0,NULL,False,False,"{""input"": ""input.txt"", ""output"": ""output.txt"", ""io_mode"": ""Standard IO""}",False
10,"报时助手","<p>给定当前的时间，请用英文的读法将它读出来。</p><p>时间用时h和分m表示，在英文的读法中，读一个时间的方法是：</p><p>如果m为0，则将时读出来，然后加上“o&#039;clock”，如3:00读作“three o&#039;clock”。</p><p>如果m不为0，则将时读出来，然后将分读出来，如5:30读作“five thirty”。</p><p>时和分的读法使用的是英文数字的读法，其中0~20读作：</p><p>0:zero, 1: one, 2:two, 3:three, 4:four, 5:five, 6:six, 7:seven, 8:eight, 9:nine, 10:ten, 11:eleven, 12:twelve, 13:thirteen, 14:fourteen, 15:fifteen, 16:sixteen, 17:seventeen, 18:eighteen, 19:nineteen, 20:twenty。</p><p>30读作thirty，40读作forty，50读作fifty。</p><p>对于大于20小于60的数字，首先读整十的数，然后再加上个位数。如31首先读30再加1的读法，读作“thirty one”。</p><p>按上面的规则21:54读作“twenty one fifty four”，9:07读作“nine seven”，0:15读作“zero fifteen”。</p>","<p>输入包含两个非负整数h和m，表示时间的时和分。非零的数字前没有前导0。h小于24，m小于60。</p>","<p>输出时间时刻的英文。</p>","[{""input"": ""0 15"", ""output"": ""zero fifteen""}]","9a0d1ee9b6d7b7d91f3ac89f365747fb","[{""score"": 5, ""input_name"": ""1.in"", ""output_name"": ""1.out""}, {""score"": 5, ""input_name"": ""2.in"", ""output_name"": ""2.out""}, {""score"": 5, ""input_name"": ""3.in"", ""output_name"": ""3.out""}, {""score"": 5, ""input_name"": ""4.in"", ""output_name"": ""4.out""}, {""score"": 5, ""input_name"": ""5.in"", ""output_name"": ""5.out""}, {""score"": 5, ""input_name"": ""6.in"", ""output_name"": ""6.out""}, {""score"": 5, ""input_name"": ""7.in"", ""output_name"": ""7.out""}, {""score"": 5, ""input_name"": ""8.in"", ""output_name"": ""8.out""}, {""score"": 5, ""input_name"": ""9.in"", ""output_name"": ""9.out""}, {""score"": 5, ""input_name"": ""10.in"", ""output_name"": ""10.out""}, {""score"": 5, ""input_name"": ""11.in"", ""output_name"": ""11.out""}, {""score"": 5, ""input_name"": ""12.in"", ""output_name"": ""12.out""}, {""score"": 5, ""input_name"": ""13.in"", ""output_name"": ""13.out""}, {""score"": 5, ""input_name"": ""14.in"", ""output_name"": ""14.out""}, {""score"": 5, ""input_name"": ""15.in"", ""output_name"": ""15.out""}, {""score"": 5, ""input_name"": ""16.in"", ""output_name"": ""16.out""}, {""score"": 5, ""input_name"": ""17.in"", ""output_name"": ""17.out""}, {""score"": 5, ""input_name"": ""18.in"", ""output_name"": ""18.out""}, {""score"": 5, ""input_name"": ""19.in"", ""output_name"": ""19.out""}, {""score"": 5, ""input_name"": ""20.in"", ""output_name"": ""20.out""}]","","[""C"", ""C++"", ""Java"", ""Python2"", ""Python3""]","{}","2018-09-18 11:38:42.516856+00",NULL,1000,512,False,NULL,NULL,NULL,"ACM",True,"Low","",459,134,1,"1-6","{""0"": 134, ""4"": 26, ""-1"": 180, ""-2"": 85}",0,NULL,False,False,"{""input"": ""input.txt"", ""output"": ""output.txt"", ""io_mode"": ""Standard IO""}",False
